date,activity_id,name,type_key,start_local,start_gmt,location,polyline,distance_m,elapsed_sec,moving_sec,duration_sec,avg_speed_mps,avg_pace_sec_per_km,avg_pace_sec_per_mile,avg_hr,max_hr,calories,steps,elev_gain_m,elev_loss_m,training_effect,anaerobic_te,training_load,vo2max,body_battery_delta,intensity_min_mod,intensity_min_vig,splits_json,run_cadence_spm,stride_len_cm,avg_power_w,norm_power_w,vertical_osc_mm,ground_contact_ms,vertical_ratio,terrain,walk_cadence_spm,total_sets,active_sets,total_reps
2026-02-14,21868665513,Red River Ski Area Ski,resort_skiing,2026-02-14 09:25:13,2026-02-14 16:25:13,Taos County,True,14188.9404296875,7775.4560546875,5767.0,7768.9482421875,1.8259999752044678,547.6451333949357,881.3494095583394,85.0,133.0,609.0,,1258.3100000023842,1307.2899999916553,0.699999988079071,0.30000001192092896,10.583602905273438,,0,51,3,"[{""type"":""SKI_RUN_SPLIT"",""n"":7,""dur_s"":4798.5478515625,""dist"":9600.5302734375,""avg_spd"":2.000999927520752,""ascent"":44.68000000715256},{""type"":""SKI_LIFT_SPLIT"",""n"":7,""dur_s"":2970.35791015625,""dist"":4610.0498046875,""avg_spd"":1.5520000457763672,""ascent"":1214.6700000166893}]",,,,,,,,,,,,
2026-02-14,21870125142,Red River Ski Area Ski,resort_skiing,2026-02-14 12:34:17,2026-02-14 19:34:17,Taos County,True,22988.890625,11480.4033203125,8690.0,11478.5048828125,2.003000020980835,499.25111808551907,803.4667913842217,89.0,125.0,958.0,,2078.5699999928474,2372.10000000149,0.6000000238418579,0.0,6.682342529296875,,0,97,5,"[{""type"":""SKI_RUN_SPLIT"",""n"":7,""dur_s"":7412.39697265625,""dist"":16029.76953125,""avg_spd"":2.1630001068115234,""ascent"":48.059999998658895},{""type"":""SKI_LIFT_SPLIT"",""n"":7,""dur_s"":4066.06396484375,""dist"":7003.85009765625,""avg_spd"":1.7230000495910645,""ascent"":2029.3499999940395}]",,,,,,,,,,,,
2026-02-15,21879517968,Red River Ski Area Ski,resort_skiing,2026-02-15 10:05:13,2026-02-15 17:05:13,Taos County,True,10696.349609375,7665.3740234375,4062.0,7665.3740234375,1.3949999809265137,716.8458879374554,1153.6516286768162,84.0,114.0,577.0,,590.5600000023842,1048.6800000071526,0.699999988079071,0.0,7.2030029296875,,-6,56,0,"[{""type"":""SKI_RUN_SPLIT"",""n"":8,""dur_s"":5431.201171875,""dist"":8010.7998046875,""avg_spd"":1.475000023841858,""ascent"":65.75},{""type"":""SKI_LIFT_SPLIT"",""n"":8,""dur_s"":2234.126953125,""dist"":2688.5400390625,""avg_spd"":1.2029999494552612,""ascent"":524.0099999997765}]",,,,,,,,,,,,
2026-02-15,21880810758,Red River Ski Area Ski,resort_skiing,2026-02-15 14:06:35,2026-02-15 21:06:35,Taos County,True,13153.080078125,7712.52392578125,4639.0,7712.52392578125,1.7050000429153445,586.5102491669857,943.8967504353935,96.0,134.0,760.0,,1348.280000001192,1482.1199999973178,1.100000023841858,0.0,11.110992431640625,,-6,78,11,"[{""type"":""SKI_RUN_SPLIT"",""n"":4,""dur_s"":4145.56298828125,""dist"":8628.0703125,""avg_spd"":2.0810000896453857,""ascent"":29.639999985694885},{""type"":""SKI_LIFT_SPLIT"",""n"":4,""dur_s"":3566.93798828125,""dist"":4596.60009765625,""avg_spd"":1.2890000343322754,""ascent"":1318.0799999982119}]",,,,,,,,,,,,
2026-02-18,21902571784,Treadmill Running,treadmill_running,2026-02-17 18:55:29,2026-02-18 00:55:29,,False,9711.48046875,3235.7109375,3183.603973388672,3235.7109375,3.000999927520752,333.2222672948015,536.2692565372851,131.0,159.0,705.0,8140.0,,,3.5999999046325684,0.0,111.23171997070312,,-7,5,48,"[{""type"":""INTERVAL_ACTIVE"",""n"":1,""dur_s"":3235.7109375,""dist"":9711.4697265625,""avg_spd"":3.000999927520752,""ascent"":null},{""type"":""RWD_STAND"",""n"":3,""dur_s"":22.000999450683594,""dist"":0.0,""avg_spd"":0.0,""ascent"":null},{""type"":""RWD_RUN"",""n"":4,""dur_s"":3188.0,""dist"":9690.9599609375,""avg_spd"":3.0399999618530273,""ascent"":null},{""type"":""RWD_WALK"",""n"":4,""dur_s"":25.4950008392334,""dist"":20.530000686645508,""avg_spd"":0.8050000071525574,""ascent"":null}]",152.1875,119.10000000000001,365.0,371.0,9.930000305175781,293.20001220703125,8.359999656677246,road/treadmill,,,,
2026-02-19,21913110115,HIIT,hiit,2026-02-18 18:41:20,2026-02-19 00:41:20,,False,0.0,2107.200927734375,2107.200927734375,2107.200927734375,0.0,,,109.0,135.0,311.0,18.0,,,1.7999999523162842,0.0,20.56622314453125,,0,19,15,"[{""type"":""WORKOUT_ROUND"",""n"":1,""dur_s"":2107.200927734375,""dist"":0.0,""avg_spd"":0.0,""ascent"":null}]",,,,,,,,,,1.0,1.0,9.0
2026-02-19,21913184992,Treadmill Running,treadmill_running,2026-02-18 19:17:08,2026-02-19 01:17:08,,False,2910.199951171875,949.9390258789062,918.18701171875,949.9390258789062,3.0639998912811284,326.3707687606598,525.2428384803553,138.0,152.0,234.0,2482.0,,,2.700000047683716,0.0,49.53338623046875,,0,0,14,"[{""type"":""RWD_STAND"",""n"":1,""dur_s"":1.0,""dist"":0.0,""avg_spd"":0.0,""ascent"":null},{""type"":""RWD_WALK"",""n"":2,""dur_s"":28.72599983215332,""dist"":4.550000190734863,""avg_spd"":0.15800000727176666,""ascent"":null},{""type"":""RWD_RUN"",""n"":1,""dur_s"":920.0,""dist"":2905.639892578125,""avg_spd"":3.1579999923706055,""ascent"":null},{""type"":""INTERVAL_ACTIVE"",""n"":1,""dur_s"":949.9390258789062,""dist"":2910.199951171875,""avg_spd"":3.063999891281128,""ascent"":null}]",157.703125,118.98000488281251,371.0,392.0,9.55999984741211,277.0,8.140000343322754,road/treadmill,,,,
2026-02-19,21923163812,Wichita Falls - Base,running,2026-02-19 17:59:12,2026-02-19 23:59:12,Wichita Falls,True,8063.02001953125,2620.169921875,2618.5800170898438,2620.169921875,3.0769999027252197,324.9918854772552,523.0237409415078,144.0,162.0,671.0,7064.0,24.439999997615814,26.5,4.0,0.0,137.97476196289062,50.0,-8,0,42,"[{""type"":""INTERVAL_ACTIVE"",""n"":1,""dur_s"":2620.169921875,""dist"":8063.02001953125,""avg_spd"":3.0769999027252197,""ascent"":24.400000005960464},{""type"":""RWD_RUN"",""n"":2,""dur_s"":2594.924072265625,""dist"":8017.89990234375,""avg_spd"":3.0899999141693115,""ascent"":24.400000005960464},{""type"":""RWD_WALK"",""n"":2,""dur_s"":25.000999450683594,""dist"":45.119998931884766,""avg_spd"":1.8049999475479126,""ascent"":0.0}]",162.359375,114.6300048828125,386.0,392.0,9.3,274.0,8.130000114440918,road/treadmill,,,,
2026-02-23,21964432462,Lubbock Walking,walking,2026-02-23 17:44:49,2026-02-23 23:44:49,Lubbock,True,1910.219970703125,1551.68505859375,1529.9239959716797,1551.68505859375,1.2309999465942383,812.3477200520299,1307.346929179414,73.0,84.0,129.0,2632.0,4.629999995231628,4.509999990463257,0.30000001192092896,0.0,3.421783447265625,50.0,-2,21,0,,,73.17925186076339,,,,,,,100.921875,,,
2026-02-25,21987328534,Lubbock Running,running,2026-02-25 17:44:52,2026-02-25 23:44:52,Lubbock,True,6059.2001953125,1810.35302734375,1805.3429870605469,1807.35205078125,3.3529999256134033,298.2403883641776,479.97137957155905,151.0,164.0,490.0,4946.0,8.219999998807907,9.0,3.799999952316284,0.0,136.29843139648438,49.0,-5,1,29,"[{""type"":""INTERVAL_ACTIVE"",""n"":1,""dur_s"":1807.35205078125,""dist"":6059.2001953125,""avg_spd"":3.3529999256134033,""ascent"":8.540000021457672},{""type"":""RWD_RUN"",""n"":1,""dur_s"":1807.0989990234375,""dist"":6059.2001953125,""avg_spd"":3.3529999256134033,""ascent"":8.540000021457672}]",164.203125,122.48000488281251,418.0,422.0,9.61999969482422,266.79998779296875,7.860000133514404,road/treadmill,,,,
